"sDm_D"	"sDm_E"	"sBn_D"	"sBn_E"	"sAn_D"	"sAn_E"
"ENSG00000142611"	61	81	88	42	19	19
"ENSG00000284616"	0	0	0	0	0	0
"ENSG00000260972"	0	0	0	0	0	0
"ENSG00000229280"	0	0	0	0	0	0
"ENSG00000232596"	0	0	0	0	0	0
"ENSG00000231510"	0	0	0	0	0	0
"ENSG00000149527"	1426	1821	584	543	1012	1003
"ENSG00000272235"	1	2	2	1	1	5
"ENSG00000284694"	0	0	0	0	0	0
"ENSG00000224387"	18	17	9	4	12	10
"ENSG00000284674"	0	0	0	0	0	0
"ENSG00000224338"	0	0	0	0	0	0
"ENSG00000287727"	34	59	28	27	26	56
"ENSG00000215720"	12	10	16	2	29	21
"ENSG00000142606"	18	5	24	24	13	20
"ENSG00000225931"	104	107	194	181	75	95
"ENSG00000229393"	18	22	10	2	6	6
"ENSG00000287586"	0	0	0	0	1	0
"ENSG00000227169"	0	0	0	0	0	0
"ENSG00000283356"	0	0	0	0	0	0
"ENSG00000225387"	0	0	0	0	0	0
"ENSG00000048707"	9692	10128	10093	7594	6901	8916
"ENSG00000225196"	1	1	0	1	0	0
"ENSG00000279625"	0	0	0	0	0	0
"ENSG00000285833"	0	0	0	0	0	0
"ENSG00000280222"	0	0	0	0	1	1
"ENSG00000285945"	0	0	0	0	0	0
"ENSG00000197921"	0	0	0	0	1	0
"ENSG00000284666"	0	0	1	0	0	0
"ENSG00000234397"	0	0	0	0	0	0
"ENSG00000233419"	0	0	0	0	0	0
"ENSG00000225011"	0	0	0	0	0	0
"ENSG00000284676"	0	0	0	0	0	0
"ENSG00000270927"	0	0	0	0	0	0
"ENSG00000230523"	0	0	0	0	0	0
"ENSG00000233234"	0	0	0	0	0	0
"ENSG00000189337"	11	16	15	15	19	8
"ENSG00000283259"	0	1	0	0	0	0
"ENSG00000175147"	74	80	164	116	209	95
"ENSG00000230214"	0	0	0	0	0	0
"ENSG00000272420"	18	22	16	22	27	16
"ENSG00000236648"	0	0	0	2	0	0
"ENSG00000232273"	21	10	17	18	13	27
"ENSG00000130940"	862	1059	609	406	445	700
"ENSG00000227527"	13	5	12	20	4	10
"ENSG00000163873"	0	1	0	3	0	0
"ENSG00000117215"	2	6	2	2	0	5
"ENSG00000230163"	0	0	0	0	0	0
"ENSG00000215895"	1	4	1	4	0	0
"ENSG00000274944"	1	0	0	1	0	3
"ENSG00000272078"	85	79	44	52	72	96
"ENSG00000230451"	0	0	0	0	0	0
"ENSG00000231606"	0	0	0	0	3	0
"ENSG00000254553"	1	0	1	0	0	0
"ENSG00000284653"	0	0	0	0	0	0
"ENSG00000237749"	3	1	0	2	4	4
"ENSG00000276747"	0	0	0	0	0	0
"ENSG00000159339"	330	272	845	707	316	307
"ENSG00000261781"	0	0	2	0	0	1
"ENSG00000224751"	0	2	6	5	2	6
"ENSG00000230585"	4	5	4	10	3	8
"ENSG00000117000"	2877	2859	2812	2446	2381	3402
"ENSG00000284989"	0	0	0	0	0	0
"ENSG00000231630"	0	0	0	0	0	0
"ENSG00000255811"	0	0	0	0	0	0
"ENSG00000225671"	1	0	0	0	0	0
"ENSG00000236111"	0	0	1	0	0	0
"ENSG00000116544"	42	78	43	37	34	38
"ENSG00000236723"	14	9	19	7	10	5
"ENSG00000232467"	0	0	0	0	0	0
"ENSG00000237130"	1	1	0	0	1	0
"ENSG00000232335"	0	0	0	0	0	0
"ENSG00000232762"	7	2	4	5	2	10
"ENSG00000284686"	4	7	14	27	36	3
"ENSG00000259818"	3	2	2	1	0	2
"ENSG00000234318"	1	4	1	0	2	0
"ENSG00000227485"	0	0	0	0	0	0
"ENSG00000236646"	3	0	0	0	2	0
"ENSG00000171872"	0	0	1	0	0	0
"ENSG00000163877"	1479	1235	1218	1127	1305	1629
"ENSG00000228929"	1	1	2	2	0	6
"ENSG00000224570"	1	0	4	0	2	3
"ENSG00000224980"	0	0	1	1	0	0
"ENSG00000278967"	0	1	1	1	0	4
"ENSG00000233910"	0	0	0	0	0	0
"ENSG00000287703"	0	0	0	0	0	0
"ENSG00000283039"	0	0	0	0	0	0
"ENSG00000229294"	1	0	0	0	0	2
"ENSG00000236973"	1	0	0	1	0	0
"ENSG00000277397"	0	0	0	0	0	0
"ENSG00000275350"	0	0	0	0	1	0
"ENSG00000285778"	0	0	0	0	0	0
"ENSG00000233407"	0	0	0	0	0	0
"ENSG00000280317"	0	0	0	0	0	0
"ENSG00000233994"	3	2	1	6	1	3
"ENSG00000227556"	0	0	0	0	0	0
"ENSG00000285954"	25	29	24	22	23	20
"ENSG00000233333"	0	0	0	0	0	0
"ENSG00000154027"	145	173	171	138	105	75
"ENSG00000234108"	0	0	2	0	0	0
"ENSG00000232676"	0	0	0	0	0	0
"ENSG00000213579"	0	0	0	0	0	0
"ENSG00000237852"	5	2	3	4	19	5
"ENSG00000270549"	0	0	0	0	0	0
"ENSG00000237163"	0	0	1	0	0	0
"ENSG00000229636"	0	0	0	0	0	0
"ENSG00000116675"	304	339	233	181	246	240
"ENSG00000213625"	5632	4840	5067	5117	8135	8664
"ENSG00000233664"	0	0	0	0	0	0
"ENSG00000213703"	3	5	3	2	0	0
"ENSG00000234144"	0	0	1	0	1	0
"ENSG00000277670"	0	0	0	0	0	0
"ENSG00000227466"	0	0	0	0	0	0
"ENSG00000230498"	2	3	7	2	1	0
"ENSG00000224493"	0	0	0	0	0	0
"ENSG00000131233"	3	2	1	4	3	0
"ENSG00000229225"	0	0	0	0	0	0
"ENSG00000225598"	0	0	0	0	0	0
"ENSG00000286548"	21	20	32	25	32	33
"ENSG00000272094"	0	0	1	2	4	0
"ENSG00000228853"	0	0	0	0	0	0
"ENSG00000288543"	1	0	3	0	0	2
"ENSG00000226084"	177	241	198	195	186	169
"ENSG00000229332"	0	0	1	2	0	0
"ENSG00000227937"	0	0	0	0	0	0
"ENSG00000229752"	0	0	0	0	0	0
"ENSG00000233216"	3	0	0	0	0	0
"ENSG00000226804"	0	0	0	0	0	0
"ENSG00000230728"	3	6	2	4	12	9
"ENSG00000232846"	0	0	0	0	0	0
"ENSG00000230787"	0	0	0	0	0	0
"ENSG00000172260"	19	12	8	10	31	26
"ENSG00000285473"	0	1	0	0	0	0
"ENSG00000234578"	0	0	0	0	0	0
"ENSG00000229505"	0	0	0	0	0	0
"ENSG00000228187"	0	1	0	1	4	0
"ENSG00000182183"	1395	1561	1489	1343	928	1031
"ENSG00000236407"	0	0	0	0	0	0
"ENSG00000271949"	0	0	0	0	0	0
"ENSG00000227062"	0	0	0	0	0	0
"ENSG00000067334"	5176	4367	4196	4304	4560	4692
"ENSG00000235011"	0	0	0	0	0	0
"ENSG00000213559"	0	0	0	0	0	0
"ENSG00000232882"	4	6	6	2	5	7
"ENSG00000171502"	64	47	48	43	28	36
"ENSG00000116157"	666	771	634	618	673	657
"ENSG00000226960"	2	2	1	2	0	0
"ENSG00000234080"	0	0	0	0	0	0
"ENSG00000285409"	0	0	0	0	0	1
"ENSG00000271723"	0	0	0	0	0	0
"ENSG00000225191"	0	0	0	0	0	0
"ENSG00000287870"	0	2	5	5	1	1
"ENSG00000232048"	0	0	0	0	0	0
"ENSG00000232857"	0	0	0	0	0	0
"ENSG00000273637"	0	0	0	0	0	0
"ENSG00000228838"	3	2	0	3	0	0
"ENSG00000283761"	27	24	19	12	14	18
"ENSG00000233514"	2	0	0	0	0	0
"ENSG00000266993"	70	72	84	78	44	97
"ENSG00000229316"	0	0	0	0	0	0
"ENSG00000234099"	2	5	3	5	7	8
"ENSG00000232752"	0	3	3	1	4	1
"ENSG00000235829"	0	0	0	0	0	0
"ENSG00000143032"	0	0	0	0	0	0
"ENSG00000280040"	0	0	0	0	0	0
"ENSG00000238037"	0	0	0	0	0	0
"ENSG00000227935"	0	0	0	0	0	0
"ENSG00000228502"	131	106	124	119	35	31
"ENSG00000271277"	0	0	0	0	0	0
"ENSG00000236888"	0	1	0	0	0	0
"ENSG00000230828"	0	0	0	0	0	0
"ENSG00000233129"	3	1	1	2	4	0
"ENSG00000237897"	0	0	0	0	0	0
"ENSG00000286692"	0	3	0	0	0	3
